Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany,AverageSalary
25,No,Research & Development,2,1,Life Sciences,4,3,Divorced,5206,1,3,7,6612.75
29,No,Research & Development,15,1,Life Sciences,2,4,Married,2168,0,2,5,6612.75
42,No,Research & Development,2,1,Life Sciences,3,3,Married,17861,0,2,20,6612.75
23,No,Research & Development,20,1,Life Sciences,1,3,Single,2272,0,3,4,6612.75
31,No,Research & Development,26,1,Life Sciences,1,3,Divorced,2911,1,2,5,6612.75
32,Yes,Research & Development,16,1,Life Sciences,2,1,Single,3919,1,3,10,6612.75
23,No,Research & Development,26,1,Life Sciences,3,4,Divorced,2904,1,2,4,6612.75
39,No,Research & Development,8,1,Life Sciences,3,3,Married,3755,1,3,8,6612.75
38,No,Research & Development,1,1,Life Sciences,3,1,Single,2619,3,2,0,6612.75
39,No,Research & Development,1,1,Life Sciences,4,4,Married,12742,1,3,21,6612.75
56,No,Research & Development,7,3,Life Sciences,4,4,Single,7260,4,2,6,6416.867924528302
50,No,Research & Development,1,3,Life Sciences,1,2,Married,18172,3,2,8,6416.867924528302
43,No,Research & Development,12,3,Life Sciences,1,2,Divorced,14336,1,3,25,6416.867924528302
26,No,Research & Development,6,3,Life Sciences,3,4,Married,2659,1,3,3,6416.867924528302
33,Yes,Research & Development,3,3,Life Sciences,1,1,Single,3348,1,3,10,6416.867924528302
43,No,Research & Development,3,3,Life Sciences,3,4,Married,19740,3,3,8,6416.867924528302
19,No,Research & Development,25,3,Life Sciences,2,4,Single,2994,1,3,1,6416.867924528302
34,No,Research & Development,1,3,Life Sciences,4,2,Married,3294,5,2,5,6416.867924528302
39,Yes,Research & Development,2,3,Life Sciences,1,1,Single,3646,2,4,1,6416.867924528302
31,Yes,Research & Development,2,3,Life Sciences,2,4,Married,3722,6,1,2,6416.867924528302
31,Yes,Research & Development,3,3,Life Sciences,4,3,Single,4084,1,1,7,6416.867924528302
27,No,Research & Development,15,3,Life Sciences,4,1,Married,4774,0,2,7,6416.867924528302
29,No,Research & Development,7,3,Life Sciences,4,1,Single,2062,3,3,3,6416.867924528302
42,No,Research & Development,2,3,Life Sciences,1,3,Married,18880,5,2,22,6416.867924528302
27,No,Research & Development,4,3,Life Sciences,2,2,Married,6142,1,3,6,6416.867924528302
33,No,Research & Development,2,3,Life Sciences,3,4,Single,2500,0,4,3,6416.867924528302
20,No,Research & Development,1,3,Life Sciences,4,2,Single,2836,1,4,1,6416.867924528302
32,No,Research & Development,4,3,Life Sciences,3,3,Married,6162,1,3,14,6416.867924528302
45,No,Research & Development,2,3,Life Sciences,2,3,Single,2274,1,3,1,6416.867924528302
54,No,Research & Development,3,3,Life Sciences,4,4,Married,17779,3,3,10,6416.867924528302
35,No,Research & Development,18,4,Life Sciences,3,3,Married,5689,1,4,10,5731.725
40,No,Research & Development,10,4,Life Sciences,4,3,Married,2213,3,3,7,5731.725
31,No,Research & Development,9,4,Life Sciences,3,2,Single,2657,0,3,2,5731.725
48,No,Research & Development,1,4,Life Sciences,4,1,Married,15402,7,1,3,5731.725
32,No,Research & Development,9,4,Life Sciences,1,4,Married,6322,1,2,6,5731.725
52,No,Research & Development,11,4,Life Sciences,4,3,Married,3149,8,3,5,5731.725
27,No,Research & Development,2,4,Life Sciences,1,4,Married,4227,0,3,3,5731.725
54,No,Research & Development,1,4,Life Sciences,4,3,Divorced,10502,7,1,5,5731.725
27,Yes,Research & Development,17,4,Life Sciences,4,3,Single,2394,1,3,8,5731.725
34,No,Research & Development,1,4,Life Sciences,2,4,Married,5484,9,2,2,5731.725
30,No,Research & Development,1,2,Medical,3,4,Single,4011,1,3,12,6308.190476190476
36,No,Research & Development,3,2,Medical,4,2,Single,2088,4,2,8,6308.190476190476
34,No,Research & Development,27,2,Medical,4,2,Single,2311,2,3,3,6308.190476190476
53,No,Research & Development,13,2,Medical,4,1,Divorced,4450,1,3,4,6308.190476190476
40,No,Research & Development,19,2,Medical,3,4,Married,2741,8,4,7,6308.190476190476
31,Yes,Research & Development,9,2,Medical,3,1,Single,2321,0,3,3,6308.190476190476
