Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,WorkLifeBalance,YearsAtCompany,AverageSalary
51,No,Human Resources,5,3,Life Sciences,3,2,Divorced,14026,1,3,33,8045.0
26,Yes,Human Resources,17,4,Life Sciences,2,3,Divorced,2741,0,2,7,2741.0
59,No,Human Resources,6,2,Medical,2,3,Married,2267,8,2,2,2267.0
54,No,Human Resources,19,4,Medical,3,2,Married,10725,2,4,9,10725.0
42,No,Human Resources,2,1,Technical Degree,3,3,Divorced,2696,0,3,3,2696.0
19,Yes,Human Resources,2,2,Technical Degree,1,4,Single,2564,1,4,1,2564.0
35,No,Human Resources,8,4,Technical Degree,3,3,Single,4323,1,1,5,4323.0
24,No,Research & Development,4,1,Life Sciences,1,4,Married,3162,0,2,5,6612.75
36,No,Research & Development,14,1,Life Sciences,3,4,Married,6586,0,2,16,6612.75
38,No,Research & Development,17,1,Life Sciences,3,3,Married,8823,0,2,19,6612.75
40,No,Research & Development,8,2,Life Sciences,4,4,Divorced,4069,3,3,2,5489.615384615385
45,No,Research & Development,25,2,Life Sciences,2,4,Married,5906,0,2,9,5489.615384615385
37,No,Research & Development,19,2,Life Sciences,2,2,Married,3022,4,3,1,5489.615384615385
34,No,Research & Development,1,2,Life Sciences,2,4,Married,3622,1,3,6,5489.615384615385
29,Yes,Research & Development,1,2,Life Sciences,2,1,Married,2319,1,3,1,5489.615384615385
42,No,Research & Development,1,2,Life Sciences,4,4,Married,6062,9,3,4,5489.615384615385
46,No,Research & Development,15,2,Life Sciences,4,2,Married,19081,5,3,4,5489.615384615385
24,Yes,Research & Development,17,2,Life Sciences,4,2,Married,2210,1,1,1,5489.615384615385
39,No,Research & Development,25,2,Life Sciences,3,3,Married,10920,3,3,6,5489.615384615385
32,No,Research & Development,1,3,Life Sciences,2,2,Married,6220,1,3,10,6416.867924528302
35,No,Research & Development,22,3,Life Sciences,4,3,Single,4230,0,3,5,6416.867924528302
